WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2020-05-18 00:00:00.000,0,0,0,0,0,0,0,0,807
2020-02-24 00:00:00.000,1,0,1,0,1,0,1,0,175
2019-01-21 00:00:00.000,5,0,0,0,2,0,0,0,136
2020-06-29 00:00:00.000,0,0,0,0,0,0,0,0,1055
2020-05-18 00:00:00.000,0,0,4,0,0,0,1,0,5010
2020-01-20 00:00:00.000,0,0,0,0,0,0,0,0,4576
2019-11-18 00:00:00.000,0,0,0,0,0,0,0,0,4315
2019-07-08 00:00:00.000,0,0,0,0,0,0,0,0,197
2019-09-30 00:00:00.000,2,0,0,0,1,0,0,0,155
2019-11-18 00:00:00.000,16,0,1,0,1,0,1,0,1108
2020-01-27 00:00:00.000,933,0,0,1,28,0,0,1,19
2019-04-08 00:00:00.000,10,5,44,0,2,3,5,0,169
2019-06-24 00:00:00.000,0,0,0,0,0,0,0,0,3489
2019-11-11 00:00:00.000,59,0,0,0,1,0,0,0,3520
2019-12-30 00:00:00.000,273,16,0,0,4,1,0,0,126
2019-12-16 00:00:00.000,0,0,0,0,0,0,0,0,3664
2019-10-28 00:00:00.000,881,10,2189,63,34,6,40,9,148
2019-01-14 00:00:00.000,0,0,0,0,0,0,0,0,2207
2019-04-22 00:00:00.000,52,1,5,0,1,1,1,0,1753
2020-01-20 00:00:00.000,33,0,0,0,1,0,0,0,1487
2020-07-27 00:00:00.000,53,0,9,3,4,0,2,2,131
2019-12-02 00:00:00.000,0,0,0,0,0,0,0,0,4377
2020-02-10 00:00:00.000,0,0,0,0,0,0,0,0,3732
2019-10-07 00:00:00.000,14,0,0,0,1,0,0,0,1721
2020-03-23 00:00:00.000,69,156,98,0,6,6,3,0,135
2019-11-18 00:00:00.000,1,0,0,0,1,0,0,0,1270
2020-05-11 00:00:00.000,1,0,0,0,1,0,0,0,149
2019-10-07 00:00:00.000,0,1,25,0,0,1,1,0,3903
2019-10-28 00:00:00.000,0,0,0,0,0,0,0,0,2943
2019-04-08 00:00:00.000,12,1,0,0,1,1,0,0,1938
2020-07-20 00:00:00.000,36,8,0,5,4,2,0,2,2227
2020-02-17 00:00:00.000,17,0,4,0,1,0,1,0,3947
2020-07-27 00:00:00.000,152,52,27,0,11,10,5,0,69
2019-09-23 00:00:00.000,0,0,0,0,0,0,0,0,3440
2019-12-09 00:00:00.000,0,0,0,0,0,0,0,0,2228
2020-06-08 00:00:00.000,40,0,32,0,2,0,1,0,3906
2020-05-04 00:00:00.000,2,0,0,0,1,0,0,0,1356
2019-12-16 00:00:00.000,0,0,0,0,0,0,0,0,194
2019-09-09 00:00:00.000,15,0,0,0,1,0,0,0,122
2020-07-06 00:00:00.000,0,0,0,0,0,0,0,0,2621
2020-03-16 00:00:00.000,0,0,0,0,0,0,0,0,4077
2020-03-30 00:00:00.000,0,0,0,0,0,0,0,0,2814
2020-05-04 00:00:00.000,0,1,0,0,0,1,0,0,3749
2020-05-25 00:00:00.000,58,0,62,43,7,0,6,2,74
2019-08-05 00:00:00.000,10,0,0,0,3,0,0,0,4850
2020-04-06 00:00:00.000,0,0,20,0,0,0,3,0,1278
2020-05-18 00:00:00.000,3,0,0,0,1,0,0,0,4259
2020-02-17 00:00:00.000,205,667,565,2,14,14,14,2,167
2020-07-20 00:00:00.000,8,0,45,0,4,0,4,0,4140
