IS_CUSTOMER_TS,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,ALEXA_RANK_final,Employee_Range_Final,Industry_final
Y,61,8.215384615384615,12.646153846153846,0.7230769230769231,4.246153846153846,2.1846153846153844,1.7846153846153847,0.1076923076923077,16000001,26 to 50,COMPUTER_SOFTWARE
Y,13,12.75,0.25,0,1,0.75,0.25,0,16000001,11 to 25,
N,53.23809523809524,0.12698412698412698,0,7.571428571428571,3.9206349206349205,0.12698412698412698,0,1.0158730158730158,2066256,11 to 25,COMPUTER_SOFTWARE
Y,49.666666666666664,1.3333333333333333,0,47.666666666666664,5.666666666666667,0.3333333333333333,0,1.3333333333333333,2066256,11 to 25,COMPUTER_SOFTWARE
N,6,0.36363636363636365,0.36363636363636365,1.1818181818181819,1.1818181818181819,0.18181818181818182,0.2727272727272727,0.2727272727272727,328320,26 to 50,UTILITIES
Y,24.875,0.125,10.25,29.25,3.4375,0.0625,1.875,1,328320,26 to 50,UTILITIES
N,1.5,0,0.5,0,1,0,0.5,0,16000001,6 to 10,RENEWABLES_ENVIRONMENT
Y,107.68181818181819,3.477272727272727,35.20454545454545,2.909090909090909,4.2272727272727275,1.1136363636363635,2.8863636363636362,0.38636363636363635,16000001,6 to 10,RENEWABLES_ENVIRONMENT
Y,66,45.25,13.25,0,2.75,2.75,1.5,0,2690923,51 to 200,STAFFING_AND_RECRUITING
N,4.142857142857143,0,11.571428571428571,7,0.8571428571428571,0,0.8571428571428571,1,5591136,2 to 5,
Y,31.823529411764707,2.764705882352941,28.470588235294116,12.823529411764707,1.6470588235294117,0.6470588235294118,1.8823529411764706,0.9411764705882353,5591136,2 to 5,
N,3,0,0,0,1,0,0,0,16000001,6 to 10,
Y,56.023809523809526,3.0714285714285716,5.595238095238095,1.4047619047619047,2.119047619047619,0.6190476190476191,1.0238095238095237,0.5238095238095238,16000001,6 to 10,
N,0,0,0,0,0,0,0,0,5051642,2 to 5,
